user_id,total_tx_count,net_tx_count,total_tx_sum_gbp,net_tx_sum_gbp,sent_tx_count,sent_tx_sum_gbp,sent_tx_mean_gbp,sent_tx_median_gbp,received_tx_count,received_tx_sum_gbp,received_tx_mean_gbp,received_tx_median_gbp
1000,1903,1517,37720.11,19676.909999999996,1710,28698.51,16.78275438596491,4.5,193,9021.6,46.7440414507772,6.0
10000,1114,720,21360.39,18944.39,917,20152.39,21.976434023991274,11.0,197,1208.0,6.131979695431472,6.0
100000,1919,1433,23455.27,20720.37,1676,22087.82,13.178890214797136,4.5,243,1367.45,5.627366255144033,5.5
100002,1561,1233,22393.960000000003,20303.16,1397,21348.56,15.281717967072298,4.5,164,1045.4,6.37439024390244,5.5
100019,1157,719,44632.75,16232.849999999999,938,30432.8,32.444349680170575,9.0,219,14199.95,64.83995433789954,6.0
100021,140,-140,874.85,-874.85,0,0.0,0.0,0.0,140,874.85,6.248928571428571,5.5
100023,166,-166,10566.5,-10566.5,0,0.0,0.0,0.0,166,10566.5,63.653614457831324,6.0
100027,109,-109,740.27,-740.27,0,0.0,0.0,0.0,109,740.27,6.791467889908256,6.0
10004,1862,1636,18868.670000000002,17654.27,1749,18261.47,10.441092052601487,4.5,113,607.2,5.373451327433629,5.0
100053,1652,1134,40478.88,19796.54,1393,30137.71,21.63511127063891,6.0,259,10341.17,39.9272972972973,6.0
100056,138,-138,849.16,-849.16,0,0.0,0.0,0.0,138,849.16,6.153333333333333,5.5
100060,1377,957,19736.969999999998,17272.23,1167,18504.6,15.856555269922877,9.0,210,1232.37,5.868428571428571,5.5
100064,136,-136,837.75,-837.75,0,0.0,0.0,0.0,136,837.75,6.1599264705882355,5.5
100065,88,-88,519.0,-519.0,0,0.0,0.0,0.0,88,519.0,5.8977272727272725,5.5
100083,393,-393,2530.32,-2530.32,0,0.0,0.0,0.0,393,2530.32,6.438473282442748,6.0
100086,1445,1131,22634.2,20806.899999999998,1288,21720.55,16.86378105590062,9.0,157,913.65,5.819426751592356,5.5
100094,694,526,23390.81,22359.81,610,22875.31,37.50050819672131,11.0,84,515.5,6.136904761904762,5.5
100098,1640,1396,33687.35999999999,32307.959999999995,1518,32997.659999999996,21.73758893280632,2.65,122,689.7,5.6532786885245905,5.5
100105,1422,1106,38214.03,31051.33,1264,34632.68,27.399272151898735,9.0,158,3581.35,22.666772151898734,5.75
100115,1787,1345,23162.96,20437.260000000002,1566,21800.11,13.92088761174968,6.0,221,1362.85,6.166742081447963,6.0
100120,1299,1009,19793.600000000002,17869.12,1154,18831.36,16.31833622183709,9.0,145,962.24,6.636137931034483,6.0
100126,1774,1424,24164.98,22037.38,1599,23101.18,14.447267041901188,6.0,175,1063.8,6.078857142857142,5.5
10013,201,-201,1302.6,-1302.6,0,0.0,0.0,0.0,201,1302.6,6.480597014925372,5.5
100137,1082,840,31018.12,29608.12,961,30313.12,31.543309053069716,10.0,121,705.0,5.8264462809917354,5.5
100138,233,-233,1360.15,-1360.15,0,0.0,0.0,0.0,233,1360.15,5.83755364806867,5.5
100140,162,-162,991.65,-991.65,0,0.0,0.0,0.0,162,991.65,6.121296296296296,6.0
100142,163,-163,966.55,-966.55,0,0.0,0.0,0.0,163,966.55,5.9297546012269935,6.0
100144,1333,969,19649.53,17417.71,1151,18533.62,16.102189400521286,6.5,182,1115.91,6.131373626373627,5.5
100153,182,-182,1150.0,-1150.0,0,0.0,0.0,0.0,182,1150.0,6.318681318681318,5.5
100155,1663,1397,16221.039999999999,14295.94,1530,15258.49,9.972869281045751,2.55,133,962.55,7.237218045112781,6.0
100159,1886,1544,21828.629999999997,19920.43,1715,20874.53,12.171737609329446,5.0,171,954.1,5.57953216374269,5.5
100163,67,-67,3988.05,-3988.05,0,0.0,0.0,0.0,67,3988.05,59.52313432835821,6.0
100165,159,-159,1060.43,-1060.43,0,0.0,0.0,0.0,159,1060.43,6.66937106918239,6.0
100166,1146,630,46615.01,9064.71,888,27839.86,31.351193693693695,6.0,258,18775.15,72.7718992248062,6.0
100169,1086,746,11938.45,9526.43,916,10732.44,11.716637554585153,7.0,170,1206.01,7.094176470588235,5.75
100171,1534,1170,34026.2,31716.8,1352,32871.5,24.313239644970412,6.0,182,1154.7,6.344505494505495,6.0
100175,345,-345,298984.5,-298984.5,0,0.0,0.0,0.0,345,298984.5,866.6217391304348,990.0
100186,157,-157,1348.66,-1348.66,0,0.0,0.0,0.0,157,1348.66,8.590191082802548,6.0
100197,1567,865,20914.2,16636.8,1216,18775.5,15.440378289473685,9.0,351,2138.7,6.093162393162393,5.5
100198,1460,1340,19806.02,19097.920000000002,1400,19451.97,13.894264285714286,5.0,60,354.05,5.900833333333334,5.5
1002,1246,840,17057.649999999998,14188.289999999999,1043,15622.97,14.978878235858101,8.99,203,1434.68,7.067389162561577,5.5
10021,1284,1038,13838.289999999999,12392.99,1161,13115.64,11.296847545219638,8.22,123,722.65,5.87520325203252,5.5
100214,1479,985,21502.239999999998,18477.22,1232,19989.73,16.225430194805195,9.0,247,1512.51,6.123522267206478,5.5
100217,193,-193,1164.05,-1164.05,0,0.0,0.0,0.0,193,1164.05,6.031347150259067,5.5
100219,110,-110,614.3,-614.3,0,0.0,0.0,0.0,110,614.3,5.584545454545454,5.5
100223,1537,1053,54392.64,16267.48,1295,35330.06,27.28189961389961,9.0,242,19062.579999999998,78.77099173553718,6.25
100224,2011,1551,17882.95,15148.45,1781,16515.7,9.27327344188658,4.5,230,1367.25,5.944565217391304,6.0
100228,114,-114,693.5,-693.5,0,0.0,0.0,0.0,114,693.5,6.083333333333333,5.5
100233,1811,1391,21343.73,18447.469999999998,1601,19895.6,12.426983135540286,3.7,210,1448.13,6.895857142857143,6.0
100250,1204,898,43919.590000000004,28070.590000000004,1051,35995.090000000004,34.24842055185538,6.5,153,7924.5,51.794117647058826,6.0
100261,273,-273,1641.3,-1641.3,0,0.0,0.0,0.0,273,1641.3,6.012087912087912,6.0
100264,923,577,43994.01,11580.650000000003,750,27787.33,37.049773333333334,10.5,173,16206.679999999998,93.68023121387283,6.0
100273,1266,1036,30108.32,28700.92,1151,29404.62,25.547019982623805,6.5,115,703.7,6.119130434782609,5.5
100274,157,-157,922.6,-922.6,0,0.0,0.0,0.0,157,922.6,5.876433121019108,5.5
100275,195,-195,1166.5,-1166.5,0,0.0,0.0,0.0,195,1166.5,5.982051282051282,6.0
100280,151,-151,996.28,-996.28,0,0.0,0.0,0.0,151,996.28,6.597880794701987,5.5
100282,1677,1313,21958.8,19828.52,1495,20893.66,13.975692307692308,6.5,182,1065.14,5.852417582417583,5.5
100295,137,-137,822.95,-822.95,0,0.0,0.0,0.0,137,822.95,6.0069343065693435,6.0
100297,288,-288,1708.2,-1708.2,0,0.0,0.0,0.0,288,1708.2,5.93125,5.5
10030,153,-153,1049.75,-1049.75,0,0.0,0.0,0.0,153,1049.75,6.861111111111111,6.0
100300,1211,971,14956.84,13517.14,1091,14236.99,13.04948670944088,6.5,120,719.85,5.99875,5.75
100301,1345,929,25309.41,22142.45,1137,23725.93,20.86713280562885,7.0,208,1583.48,7.6128846153846155,6.0
100302,150,-150,11223.5,-11223.5,0,0.0,0.0,0.0,150,11223.5,74.82333333333334,6.0
100305,220,-220,1227.12,-1227.12,0,0.0,0.0,0.0,220,1227.12,5.577818181818182,5.5
100324,1443,1039,17818.370000000003,15355.070000000002,1241,16586.72,13.365608380338438,6.5,202,1231.65,6.097277227722773,6.0
100338,1794,1528,33482.79,31937.89,1661,32710.34,19.69316074653823,4.5,133,772.45,5.807894736842106,6.0
100348,1891,1537,18663.63,16618.329999999998,1714,17640.98,10.292287047841306,4.5,177,1022.65,5.777683615819209,5.5
100368,252,-252,1494.11,-1494.11,0,0.0,0.0,0.0,252,1494.11,5.9290079365079364,5.5
100373,76,-76,457.5,-457.5,0,0.0,0.0,0.0,76,457.5,6.019736842105263,6.0
100376,2115,1695,44479.42,13764.02,1905,29121.72,15.286992125984252,4.5,210,15357.7,73.13190476190476,5.5
100384,581,581,29455.14,29455.14,581,29455.14,50.69731497418244,5.5,0,0.0,0.0,0.0
100385,1090,768,21784.260000000002,19483.0,929,20633.63,22.210581270182992,9.0,161,1150.63,7.146770186335404,6.0
100401,190,-190,1319.69,-1319.69,0,0.0,0.0,0.0,190,1319.69,6.945736842105264,6.0
100420,1217,901,23099.76,21165.66,1059,22132.71,20.899631728045325,6.5,158,967.05,6.120569620253164,6.0
100423,1359,979,21554.93,19351.17,1169,20453.05,17.496193327630454,6.5,190,1101.88,5.799368421052632,5.5
100445,1174,820,14649.93,12539.130000000001,997,13594.53,13.635436308926781,6.5,177,1055.4,5.9627118644067805,5.5
100446,132,-132,794.45,-794.45,0,0.0,0.0,0.0,132,794.45,6.018560606060606,6.0
100455,221,-221,1362.45,-1362.45,0,0.0,0.0,0.0,221,1362.45,6.164932126696833,6.0
100466,2013,1767,32645.38,31187.079999999998,1890,31916.23,16.88689417989418,2.65,123,729.15,5.928048780487805,5.5
100472,1067,849,20015.64,18721.64,958,19368.64,20.21778705636743,9.5,109,647.0,5.935779816513762,5.5
100478,1306,966,12904.99,10923.289999999999,1136,11914.14,10.487799295774648,6.0,170,990.85,5.828529411764706,5.5
100480,84,-84,636.81,-636.81,0,0.0,0.0,0.0,84,636.81,7.581071428571428,5.5
100483,1101,751,50160.81999999999,16626.44,926,33393.63,36.06223542116631,6.5,175,16767.19,95.81251428571427,6.5
100488,118,-118,10265.45,-10265.45,0,0.0,0.0,0.0,118,10265.45,86.99533898305086,6.0
100489,1195,969,20570.44,19200.34,1082,19885.39,18.378364140480592,7.0,113,685.05,6.062389380530973,6.0
100493,1640,1170,25100.31,22318.13,1405,23709.22,16.874889679715302,8.99,235,1391.09,5.919531914893617,6.0
100517,156,-156,978.1,-978.1,0,0.0,0.0,0.0,156,978.1,6.269871794871795,5.5
100537,1809,1441,19657.45,17564.469999999998,1625,18610.96,11.45289846153846,4.4,184,1046.49,5.687445652173913,5.5
100541,1271,937,17756.19,14782.67,1104,16269.43,14.736802536231885,6.5,167,1486.76,8.902754491017964,6.0
